id,vrsta
11229,bivak
112931,slap
11424,slap
111928,cerkev
111939,koča
11406,slap
112930,koča
11230,planina
11407,slap
112436,jezero
11233,slap
11233,jezero
11412,planina
111249,vrh
11580,koča
11393,slap
11392,slap
113104,jezero
113103,jezero
112773,koča
112637,vrh
111250,vrh
111406,vrh
111406,cerkev
112443,cerkev
111783,vrh
111584,slap
111589,vrh
112615,vrh
11428,slap
11411,planina
11411,cerkev
11831,vrh
11831,slap
112772,jezero
112772,cerkev
112442,slap
113199,vrh
11396,vrh
112325,vrh
112326,cerkev
113353,jezero
113353,cerkev
111126,slap
111757,vrh
11690,slap
11232,slap
11232,jezero
112975,slap
11403,slap
11403,jezero
11404,slap
211309,vrh
211309,koča
21152,vrh
211431,vrh
211673,vrh
2112580,vrh
2112815,vrh
2111911,vrh
2111551,vrh
211369,vrh
2111494,vrh
211368,vrh
211277,vrh
211377,bivak
211377,planina
2112994,vrh
211301,vrh
211672,vrh
211149,vrh
21192,vrh
211201,koča
211201,planina
211592,vrh
211592,koča
211592,cerkev
211585,planina
211585,sedlo
211442,vrh
211443,vrh
2111439,vrh
2112509,koča
2112509,cerkev
211459,planina
2113342,vrh
211670,koča
2111258,vrh
211195,koča
211195,bivak
211195,planina
211276,koča
211276,planina
2112438,vrh
2111511,vrh
2111927,vrh
2111259,vrh
2111926,vrh
2112854,vrh
211361,planina
211361,sedlo
211346,vrh
211196,koča
211196,planina
211297,planina
2111245,planina
2111245,sedlo
21171,koča
21171,planina
2111257,sedlo
211509,planina
21191,koča
211359,koča
211359,planina
2112853,vrh
211554,vrh
211354,vrh
211805,vrh
211223,koča
211223,planina
211223,cerkev
2111659,planina
211505,vrh
2112099,planina
2113271,vrh
211347,planina
211251,koča
2112097,planina
2113252,vrh
2112734,vrh
2112098,planina
211278,koča
211278,planina
2111650,vrh
2112784,planina
211298,koča
211298,planina
211460,planina
2113174,vrh
211557,planina
2111402,koča
2111402,planina
211322,koča
211322,sedlo
2113264,planina
2111252,planina
2111231,vrh
2112699,planina
2113254,vrh
2113222,vrh
2112621,vrh
211294,koča
211294,planina
2112700,planina
2113251,vrh
211202,planina
211236,koča
211525,planina
2112307,vrh
2111263,planina
211742,vrh
2112793,planina
211152,koča
211152,planina
2112130,vrh
2111007,planina
2112464,vrh
211614,cerkev
2112893,vrh
2111552,planina
2113051,vrh
2112697,koča
2112698,cerkev
2112563,planina
2113265,vrh
211381,planina
211504,planina
2112918,vrh
2112903,vrh
2112433,vrh
2112897,vrh
211382,koča
211194,koča
211194,planina
2112921,vrh
2113221,planina
2111232,koča
2112922,vrh
2112920,vrh
211303,koča
2111265,vrh
2111150,koča
2111150,planina
2111264,vrh
2113272,planina
2111179,vrh
2111810,koča
2111810,sedlo
211741,vrh
2112437,planina
2111247,vrh
2111828,vrh
2113273,vrh
2111620,planina
211827,koča
2112783,vrh
2111415,vrh
2112368,sedlo
2112368,cerkev
2111141,koča
2112896,cerkev
2113130,vrh
2113130,cerkev
2113605,cerkev
211498,vrh
2112779,bivak
2112719,cerkev
2112816,planina
2112472,vrh
211883,vrh
2112892,vrh
211395,jezero
2111448,vrh
2111502,koča
2111502,cerkev
2112878,vrh
2111177,koča
2111747,vrh
2111978,vrh
2113351,cerkev
211740,koča
2111938,koča
2111746,vrh
2112881,vrh
2112535,slap
2112778,vrh
2112767,vrh
211837,vrh
2113552,vrh
2111654,vrh
2111118,vrh
2112093,slap
2113259,vrh
2112644,vrh
2111407,vrh
2111653,vrh
2113256,vrh
2111655,vrh
2111655,koča
2111655,cerkev
2111656,vrh
2111656,cerkev
2113255,cerkev
2111749,vrh
211591,koča
2111251,slap
2111387,vrh
2111748,vrh
2112919,vrh
2113348,vrh
2111248,vrh
2112880,vrh
2113216,vrh
2111676,vrh
2112459,slap
2112478,slap
211884,vrh
2111910,cerkev
2112802,vrh
2113345,vrh
2112484,vrh
2112619,vrh
2112609,planina
2112517,slap
211761,koča
211761,cerkev
2111921,vrh
2112454,slap
2111145,koča
2112768,cerkev
2112376,cerkev
2113567,vrh
2113105,jezero
2113553,vrh
211838,koča
2113067,cerkev
2111745,vrh
2112322,vrh
2111922,slap
2112407,koča
2112291,vrh
2112364,cerkev
2113154,vrh
2113154,cerkev
2113068,vrh
2113068,cerkev
211885,vrh
211847,cerkev
2113610,vrh
2112197,cerkev
2113606,cerkev
2112321,cerkev
2113202,vrh
2113202,koča
2113202,cerkev
2112906,vrh
2112906,cerkev
2113069,cerkev
2113551,vrh
2113551,cerkev
2112356,jezero
2112354,cerkev
2112350,cerkev
3316,vrh
3325,vrh
3328,vrh
3331,vrh
332559,vrh
3342,vrh
3349,vrh
3350,vrh
33387,vrh
3380,vrh
33388,vrh
33146,vrh
331532,vrh
331323,vrh
3396,vrh
33391,vrh
33318,vrh
3385,vrh
331587,vrh
33697,vrh
33438,vrh
331525,vrh
33390,bivak
331035,vrh
33389,bivak
33148,vrh
33103,vrh
331268,vrh
33696,vrh
33358,vrh
331392,vrh
33316,vrh
33319,vrh
33305,vrh
331578,vrh
33618,bivak
33447,vrh
3373,vrh
3373,jezero
33304,vrh
331579,vrh
33380,vrh
331064,bivak
331269,vrh
332711,bivak
33695,vrh
331535,vrh
3395,koča
3395,bivak
3395,sedlo
331068,vrh
33320,vrh
33244,vrh
33288,jezero
33288,planina
331531,vrh
33708,bivak
33708,planina
33154,vrh
33499,vrh
33356,vrh
331817,vrh
33199,koča
33199,bivak
33199,planina
33289,vrh
33284,vrh
3398,koča
3398,bivak
3398,sedlo
33324,koča
33324,planina
33324,sedlo
33324,cerkev
33338,planina
33338,cerkev
33490,vrh
33274,vrh
33295,vrh
332582,vrh
33125,vrh
33225,koča
33225,bivak
33379,planina
33446,planina
33487,vrh
33487,cerkev
33179,koča
33179,planina
33317,planina
33169,vrh
33169,planina
332735,vrh
33408,planina
33372,vrh
33488,vrh
33930,vrh
33129,vrh
33281,vrh
33486,vrh
33947,koča
33947,planina
332512,koča
332512,planina
33245,planina
331499,planina
33124,vrh
33976,vrh
331288,vrh
33485,vrh
33597,vrh
331345,planina
331488,vrh
331488,planina
33458,planina
33306,planina
33168,vrh
33168,planina
33168,cerkev
33906,vrh
33489,koča
33489,bivak
33489,planina
33183,koča
33183,bivak
332385,vrh
331071,vrh
33409,koča
33409,planina
33409,cerkev
33170,koča
33170,planina
33134,koča
331235,vrh
33598,koča
33598,jezero
33598,sedlo
33470,koča
33470,planina
331070,planina
331070,sedlo
331069,planina
33237,koča
33237,planina
33445,vrh
33371,planina
332118,planina
331236,planina
331452,vrh
331063,koča
331063,planina
332201,koča
332201,planina
331233,vrh
33130,koča
33121,koča
332287,planina
33615,koča
33615,planina
331723,vrh
33193,koča
33193,planina
33193,cerkev
33467,planina
33131,koča
33131,planina
33249,vrh
33267,vrh
332581,vrh
33248,bivak
33248,planina
33482,vrh
33349,vrh
332755,vrh
332639,planina
33594,koča
33594,planina
33207,koča
33207,planina
33207,sedlo
331724,vrh
33167,koča
33167,bivak
33167,planina
33528,planina
33484,koča
33593,koča
331501,planina
331501,sedlo
33370,slap
332597,vrh
332636,planina
333132,koča
333132,planina
331142,vrh
33208,koča
33208,planina
331500,planina
332635,planina
332660,planina
33250,planina
331261,planina
33185,koča
33185,planina
332634,planina
33350,koča
33350,sedlo
33497,vrh
331725,vrh
33189,koča
33189,planina
33351,vrh
33351,bivak
331244,vrh
331726,vrh
332598,vrh
332384,planina
33619,koča
33619,planina
332736,vrh
332303,vrh
331865,planina
331237,planina
331915,planina
331915,sedlo
332947,vrh
333159,vrh
33190,koča
331149,vrh
33166,slap
33166,koča
331284,vrh
332510,planina
331642,planina
33352,planina
331995,vrh
332638,koča
332638,planina
332638,cerkev
331132,vrh
331864,planina
331641,planina
331641,sedlo
332631,vrh
332631,cerkev
33539,vrh
332628,vrh
333089,vrh
331403,vrh
331679,vrh
33238,koča
33238,cerkev
331131,cerkev
331680,cerkev
331450,cerkev
332071,vrh
33496,koča
33444,cerkev
332987,vrh
332629,vrh
331974,vrh
33579,cerkev
33120,koča
33120,cerkev
33616,planina
332754,vrh
33617,cerkev
332358,vrh
33818,koča
33818,cerkev
33357,slap
331148,koča
